variable,Current,VATRE
M&O Rate,0.6669,0.6969
I&S Rate,0.324,0.314
Total Rate,0.9909,1.0109
Local Revenue Per Student,10688,10892
State Revenue Per Student,2494,2668
Average Market Value of Residences,658854,658854
Average Taxable Value of Residence,488457,488457
Taxes Due on Average Residence,4840,4938
