base_year,factor_year,factor
2024,2007,1.50
2024,2008,1.50
2024,2009,1.46
2024,2010,1.44
2024,2011,1.40
2024,2012,1.37
2024,2013,1.35
2024,2014,1.34
2024,2015,1.33
2024,2016,1.31
2024,2017,1.28
2024,2018,1.26
2024,2019,1.13
2024,2020,1.21
2024,2021,1.13
2024,2022,1.06
2024,2023,1.03
2024,2024,1
