Region, County Name, District Name, District Number, Charter Status, Eligible For Free Meals Count, Eligible For Free Meals Percent, Eligible For Reduced-Price Meals Count, Eligible For Reduced-Price Meals Percent, Other Economically Disadvantaged Count, Other Economically Disadvantaged Percent, Not Economically Disadvantaged Count, Not Economically Disadvantaged Percent, Total Count
16, DALLAM COUNTY, DALHART ISD, 056901, TRADITIONAL ISD/CSD,1021,57.1,185,10.35,0,0,582,32.55,1788
20, KARNES COUNTY, KARNES CITY ISD,128901, TRADITIONAL ISD/CSD,589,57.13,23,2.23,-999,-999,400,38.8,1031
09, WICHITA COUNTY, ELECTRA ISD,243902, TRADITIONAL ISD/CSD,254,57.21,-999,-999,-999,-999,-999,-999,444
08, MORRIS COUNTY, PEWITT CISD,172905, TRADITIONAL ISD/CSD,482,57.24,30,3.56,102,12.11,228,27.08,842
06, SAN JACINTO COUNTY, SHEPHERD ISD,204904, TRADITIONAL ISD/CSD,1121,57.25,75,3.83,388,19.82,374,19.1,1958
01, WEBB COUNTY, UNITED ISD,240903, TRADITIONAL ISD/CSD,23593,57.26,0,0,8193,19.88,9417,22.86,41203
04, HARRIS COUNTY, ACCELERATED INTERMEDIATE ACADEMY,101849, OPEN ENROLLMENT CHARTER,110,57.29,-999,-999,-999,-999,-999,-999,192
13, WILLIAMSON COUNTY, TAYLOR ISD,246911, TRADITIONAL ISD/CSD,1755,57.3,286,9.34,12,0.39,1010,32.97,3063
07, UPSHUR COUNTY, GILMER ISD,230902, TRADITIONAL ISD/CSD,1676,57.34,121,4.14,-999,-999,586,20.05,2923
02, NUECES COUNTY, CORPUS CHRISTI ISD,178904, TRADITIONAL ISD/CSD,18969,57.39,978,2.96,4282,12.95,8824,26.7,33053
11, TARRANT COUNTY, CASTLEBERRY ISD,220917, TRADITIONAL ISD/CSD,2147,57.41,156,4.17,1063,28.42,374,10,3740
10, DALLAS COUNTY, LIFE SCHOOL, 057807, OPEN ENROLLMENT CHARTER,3294,57.45,619,10.8,0,0,1821,31.76,5734
04, HARRIS COUNTY, CROSBY ISD,101906, TRADITIONAL ISD/CSD,3948,57.48,343,4.99,23,0.33,2554,37.19,6868
14, EASTLAND COUNTY, GORMAN ISD, 067904, TRADITIONAL ISD/CSD,142,57.49,-999,-999,-999,-999,60,24.29,247
12, MCLENNAN COUNTY, BRUCEVILLE-EDDY ISD,161919, TRADITIONAL ISD/CSD,337,57.51,19,3.24,0,0,230,39.25,586
16, WHEELER COUNTY, WHEELER ISD,242903, TRADITIONAL ISD/CSD,222,57.51,32,8.29,0,0,132,34.2,386
17, LUBBOCK COUNTY, LUBBOCK ISD,152901, TRADITIONAL ISD/CSD,13997,57.53,806,3.31,2916,11.99,6610,27.17,24329
11, ERATH COUNTY, THREE WAY ISD, 072901, TRADITIONAL ISD/CSD,118,57.56,14,6.83,0,0,73,35.61,205
06, GRIMES COUNTY, NAVASOTA ISD, 093904, TRADITIONAL ISD/CSD,1744,57.56,-999,-999,-999,-999,548,18.09,3030
01, HIDALGO COUNTY, IDEA PUBLIC SCHOOLS,108807, OPEN ENROLLMENT CHARTER,44268,57.63,2488,3.24,17799,23.17,12264,15.96,76819
12, NAVARRO COUNTY, DAWSON ISD,175904, TRADITIONAL ISD/CSD,335,57.66,45,7.75,0,0,201,34.6,581
05, LIBERTY COUNTY, HARDIN ISD,146904, TRADITIONAL ISD/CSD,715,57.71,-999,-999,-999,-999,458,36.97,1239
08, BOWIE COUNTY, NEW BOSTON ISD, 019905, TRADITIONAL ISD/CSD,659,57.71,20,1.75,231,20.23,232,20.32,1142
17, YOAKUM COUNTY, DENVER CITY ISD,251901, TRADITIONAL ISD/CSD,870,57.81,-999,-999,-999,-999,522,34.68,1505
12, NAVARRO COUNTY, CORSICANA ISD,175903, TRADITIONAL ISD/CSD,3512,57.81,181,2.98,1141,18.78,1241,20.43,6075
07, HENDERSON COUNTY, MALAKOFF ISD,107906, TRADITIONAL ISD/CSD,834,57.88,72,5,151,10.48,384,26.65,1441
06, POLK COUNTY, ONALASKA ISD,187910, TRADITIONAL ISD/CSD,719,57.89,39,3.14,80,6.44,404,32.53,1242
