Region, County Name, District Name, District Number, Charter Status, Eligible For Free Meals Count, Eligible For Free Meals Percent, Eligible For Reduced-Price Meals Count, Eligible For Reduced-Price Meals Percent, Other Economically Disadvantaged Count, Other Economically Disadvantaged Percent, Not Economically Disadvantaged Count, Not Economically Disadvantaged Percent, Total Count
07, RUSK COUNTY, OVERTON ISD,201908, TRADITIONAL ISD/CSD,336,62.92,40,7.49,0,0,158,29.59,534
10, KAUFMAN COUNTY, KEMP ISD,129904, TRADITIONAL ISD/CSD,1238,62.94,138,7.02,67,3.41,524,26.64,1967
19, EL PASO COUNTY, HARMONY PUBLIC SCHOOLS - WEST TEXAS, 071806, OPEN ENROLLMENT CHARTER,3335,62.96,576,10.87,119,2.25,1267,23.92,5297
20, BEXAR COUNTY, SOMERSET ACADEMIES OF TEXAS, 015830, OPEN ENROLLMENT CHARTER,1774,62.97,-999,-999,-999,-999,695,24.67,2817
12, LIMESTONE COUNTY, MEXIA ISD,147903, TRADITIONAL ISD/CSD,1154,62.99,100,5.46,277,15.12,301,16.43,1832
14, SCURRY COUNTY, SNYDER ISD,208902, TRADITIONAL ISD/CSD,1510,63.02,217,9.06,27,1.13,642,26.79,2396
04, GALVESTON COUNTY, GALVESTON ISD, 084902, TRADITIONAL ISD/CSD,4066,63.08,177,2.75,1015,15.75,1188,18.43,6446
07, ANGELINA COUNTY, LUFKIN ISD, 003903, TRADITIONAL ISD/CSD,4447,63.11,238,3.38,1417,20.11,944,13.4,7046
07, SHELBY COUNTY, TIMPSON ISD,210905, TRADITIONAL ISD/CSD,453,63.18,53,7.39,0,0,211,29.43,717
01, HIDALGO COUNTY, EDINBURG CISD,108904, TRADITIONAL ISD/CSD,21368,63.2,949,2.81,5796,17.14,5697,16.85,33810
07, CHEROKEE COUNTY, WELLS ISD, 037909, TRADITIONAL ISD/CSD,153,63.22,13,5.37,0,0,76,31.4,242
16, POTTER COUNTY, AMARILLO ISD,188901, TRADITIONAL ISD/CSD,18795,63.22,2304,7.75,149,0.5,8481,28.53,29729
17, LAMB COUNTY, LITTLEFIELD ISD,140904, TRADITIONAL ISD/CSD,758,63.27,29,2.42,137,11.44,274,22.87,1198
18, WINKLER COUNTY, KERMIT ISD,248901, TRADITIONAL ISD/CSD,851,63.41,130,9.69,12,0.89,349,26.01,1342
20, BEXAR COUNTY, EDGEWOOD ISD, 015905, TRADITIONAL ISD/CSD,5033,63.47,0,0,2342,29.53,555,7,7930
04, HARRIS COUNTY, THE VARNETT PUBLIC SCHOOL,101814, OPEN ENROLLMENT CHARTER,725,63.49,12,1.05,389,34.06,16,1.4,1142
17, HALE COUNTY, PLAINVIEW ISD, 095905, TRADITIONAL ISD/CSD,2717,63.53,155,3.62,633,14.8,772,18.05,4277
17, HOCKLEY COUNTY, LEVELLAND ISD,110902, TRADITIONAL ISD/CSD,1667,63.7,217,8.29,0,0,733,28.01,2617
20, BEXAR COUNTY, SAN ANTONIO ISD, 015907, TRADITIONAL ISD/CSD,28475,63.75,1164,2.61,10011,22.41,5020,11.24,44670
05, JASPER COUNTY, KIRBYVILLE CISD,121905, TRADITIONAL ISD/CSD,930,63.79,65,4.46,0,0,463,31.76,1458
11, TARRANT COUNTY, CROWLEY ISD,220912, TRADITIONAL ISD/CSD,10835,63.9,1660,9.79,764,4.51,3697,21.8,16956
07, GREGG COUNTY, LONGVIEW ISD, 092903, TRADITIONAL ISD/CSD,5185,63.98,462,5.7,1279,15.78,1178,14.54,8104
05, JEFFERSON COUNTY, BOB HOPE SCHOOL,123807, OPEN ENROLLMENT CHARTER,1606,64.01,87,3.47,553,22.04,263,10.48,2509
16, GRAY COUNTY, MCLEAN ISD, 090903, TRADITIONAL ISD/CSD,121,64.02,-999,-999,0,0,-999,-999,189
04, HARRIS COUNTY, RAUL YZAGUIRRE SCHOOLS FOR SUCCESS,101806, OPEN ENROLLMENT CHARTER,1211,64.14,55,2.91,552,29.24,70,3.71,1888
08, CASS COUNTY, BLOOMBURG ISD, 034909, TRADITIONAL ISD/CSD,156,64.2,-999,-999,-999,-999,60,24.69,243
11, ERATH COUNTY, DUBLIN ISD, 072902, TRADITIONAL ISD/CSD,736,64.22,96,8.38,0,0,314,27.4,1146
13, TRAVIS COUNTY, TEXAS EMPOWERMENT ACADEMY,227805, OPEN ENROLLMENT CHARTER,277,64.27,-999,-999,-999,-999,103,23.9,431
20, BELL COUNTY, RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN), 014801, OPEN ENROLLMENT CHARTER,933,64.34,49,3.38,0,0,468,32.28,1450
12, BOSQUE COUNTY, WALNUT SPRINGS ISD, 018905, TRADITIONAL ISD/CSD,112,64.37,-999,-999,-999,-999,-999,-999,174
08, BOWIE COUNTY, LIBERTY-EYLAU ISD, 019908, TRADITIONAL ISD/CSD,1280,64.48,60,3.02,422,21.26,223,11.23,1985
10, DALLAS COUNTY, LA ACADEMIA DE ESTRELLAS, 057839, OPEN ENROLLMENT CHARTER,652,64.55,75,7.43,173,17.13,110,10.89,1010
17, COTTLE COUNTY, PADUCAH ISD, 051901, TRADITIONAL ISD/CSD,104,64.6,0,0,14,8.7,43,26.71,161
17, GAINES COUNTY, SEAGRAVES ISD, 083901, TRADITIONAL ISD/CSD,331,64.65,0,0,97,18.95,84,16.41,512
07, UPSHUR COUNTY, ORE CITY ISD,230903, TRADITIONAL ISD/CSD,522,64.68,66,8.18,0,0,219,27.14,807
14, STEPHENS COUNTY, BRECKENRIDGE ISD,215901, TRADITIONAL ISD/CSD,900,64.75,-999,-999,-999,-999,408,29.35,1390
20, ATASCOSA COUNTY, POTEET ISD, 007906, TRADITIONAL ISD/CSD,1193,64.77,47,2.55,169,9.17,433,23.51,1842
04, HARRIS COUNTY, ALDINE ISD,101902, TRADITIONAL ISD/CSD,37467,64.77,1922,3.32,13707,23.7,4748,8.21,57844
01, ZAPATA COUNTY, ZAPATA COUNTY ISD,253901, TRADITIONAL ISD/CSD,2182,64.96,0,0,822,24.47,355,10.57,3359
08, BOWIE COUNTY, LEARY ISD, 019914, TRADITIONAL ISD/CSD,78,65,-999,-999,-999,-999,-999,-999,120
09, HARDEMAN COUNTY, QUANAH ISD, 099903, TRADITIONAL ISD/CSD,305,65.03,44,9.38,0,0,120,25.59,469
18, HOWARD COUNTY, BIG SPRING ISD,114901, TRADITIONAL ISD/CSD,2245,65.05,-999,-999,-999,-999,847,24.54,3451
17, DAWSON COUNTY, LAMESA ISD, 058906, TRADITIONAL ISD/CSD,989,65.07,-999,-999,-999,-999,282,18.55,1520
05, JASPER COUNTY, JASPER ISD,121904, TRADITIONAL ISD/CSD,1430,65.18,0,0,452,20.6,312,14.22,2194
06, MILAM COUNTY, CAMERON ISD,166901, TRADITIONAL ISD/CSD,989,65.19,135,8.9,0,0,393,25.91,1517
15, COLEMAN COUNTY, PANTHER CREEK CISD, 042905, TRADITIONAL ISD/CSD,105,65.22,15,9.32,0,0,41,25.47,161
19, HUDSPETH COUNTY, DELL CITY ISD,115903, TRADITIONAL ISD/CSD,47,65.28,-999,-999,-999,-999,-999,-999,72
17, HOCKLEY COUNTY, ANTON ISD,110901, TRADITIONAL ISD/CSD,111,65.29,-999,-999,-999,-999,44,25.88,170
14, FISHER COUNTY, ROTAN ISD, 076904, TRADITIONAL ISD/CSD,177,65.31,14,5.17,0,0,80,29.52,271
07, RUSK COUNTY, CARLISLE ISD,201913, TRADITIONAL ISD/CSD,418,65.41,-999,-999,-999,-999,166,25.98,639
20, BEXAR COUNTY, COMPASS ROSE PUBLIC SCHOOLS, 015838, OPEN ENROLLMENT CHARTER,2361,65.58,-999,-999,-999,-999,982,27.28,3600
03, WHARTON COUNTY, EL CAMPO ISD,241903, TRADITIONAL ISD/CSD,2184,65.66,259,7.79,0,0,883,26.55,3326
08, BOWIE COUNTY, HUBBARD ISD, 019913, TRADITIONAL ISD/CSD,44,65.67,-999,-999,-999,-999,-999,-999,67
07, NACOGDOCHES COUNTY, CUSHING ISD,174902, TRADITIONAL ISD/CSD,362,65.7,-999,-999,-999,-999,152,27.59,551
12, MCLENNAN COUNTY, CONNALLY ISD,161921, TRADITIONAL ISD/CSD,1505,65.75,100,4.37,310,13.54,374,16.34,2289
04, GALVESTON COUNTY, HITCHCOCK ISD, 084908, TRADITIONAL ISD/CSD,1249,65.77,69,3.63,251,13.22,330,17.38,1899
07, NACOGDOCHES COUNTY, CHIRENO ISD,174901, TRADITIONAL ISD/CSD,231,65.81,20,5.7,0,0,100,28.49,351
17, TERRY COUNTY, BROWNFIELD ISD,223901, TRADITIONAL ISD/CSD,1090,65.86,45,2.72,288,17.4,232,14.02,1655
02, BEE COUNTY, SKIDMORE-TYNAN ISD, 013905, TRADITIONAL ISD/CSD,524,65.99,49,6.17,0,0,221,27.83,794
19, EL PASO COUNTY, CLINT ISD, 071901, TRADITIONAL ISD/CSD,6779,66.07,283,2.76,1748,17.04,1450,14.13,10260
20, UVALDE COUNTY, UVALDE CISD,232903, TRADITIONAL ISD/CSD,2690,66.22,0,0,578,14.23,794,19.55,4062
17, TERRY COUNTY, MEADOW ISD,223902, TRADITIONAL ISD/CSD,157,66.24,0,0,0,0,80,33.76,237
10, DALLAS COUNTY, CITYSCAPE SCHOOLS, 057841, OPEN ENROLLMENT CHARTER,816,66.34,58,4.72,261,21.22,95,7.72,1230
04, GALVESTON COUNTY, TEXAS CITY ISD, 084906, TRADITIONAL ISD/CSD,5239,66.54,224,2.84,1056,13.41,1355,17.21,7874
17, COCHRAN COUNTY, MORTON ISD, 040901, TRADITIONAL ISD/CSD,236,66.67,-999,-999,-999,-999,73,20.62,354
14, EASTLAND COUNTY, RANGER ISD, 067907, TRADITIONAL ISD/CSD,197,66.78,-999,-999,-999,-999,65,22.03,295
02, SAN PATRICIO COUNTY, TAFT ISD,205907, TRADITIONAL ISD/CSD,560,66.99,21,2.51,123,14.71,132,15.79,836
16, SWISHER COUNTY, TULIA ISD,219903, TRADITIONAL ISD/CSD,593,67.08,19,2.15,159,17.99,113,12.78,884
07, GREGG COUNTY, GLADEWATER ISD, 092901, TRADITIONAL ISD/CSD,1149,67.27,-999,-999,135,7.9,-999,-999,1708
12, LIMESTONE COUNTY, COOLIDGE ISD,147901, TRADITIONAL ISD/CSD,199,67.46,20,6.78,0,0,76,25.76,295
04, HARRIS COUNTY, YES PREP PUBLIC SCHOOLS INC,101845, OPEN ENROLLMENT CHARTER,11904,67.55,660,3.75,3647,20.7,1411,8.01,17622
06, MONTGOMERY COUNTY, NEW CANEY ISD,170908, TRADITIONAL ISD/CSD,12845,67.65,1180,6.21,15,0.08,4947,26.05,18987
05, JEFFERSON COUNTY, PORT ARTHUR ISD,123907, TRADITIONAL ISD/CSD,5517,67.65,206,2.53,1337,16.39,1095,13.43,8155
07, RUSK COUNTY, WEST RUSK COUNTY CONSOLIDATED ISD,201914, TRADITIONAL ISD/CSD,688,67.92,93,9.18,0,0,232,22.9,1013
07, SMITH COUNTY, WINONA ISD,212910, TRADITIONAL ISD/CSD,786,68.17,34,2.95,173,15,160,13.88,1153
01, WILLACY COUNTY, LASARA ISD,245901, TRADITIONAL ISD/CSD,243,68.26,-999,-999,-999,-999,47,13.2,356
15, CRANE COUNTY, CRANE ISD, 052901, TRADITIONAL ISD/CSD,827,68.29,-999,-999,-999,-999,304,25.1,1211
20, FRIO COUNTY, DILLEY ISD, 082902, TRADITIONAL ISD/CSD,593,68.32,0,0,93,10.71,182,20.97,868
17, LAMB COUNTY, AMHERST ISD,140901, TRADITIONAL ISD/CSD,78,68.42,-999,-999,-999,-999,-999,-999,114
19, EL PASO COUNTY, SAN ELIZARIO ISD, 071904, TRADITIONAL ISD/CSD,2061,68.49,116,3.86,613,20.37,219,7.28,3009
20, ATASCOSA COUNTY, LYTLE ISD, 007904, TRADITIONAL ISD/CSD,1248,68.53,106,5.82,0,0,467,25.65,1821
01, JIM HOGG COUNTY, JIM HOGG COUNTY ISD,124901, TRADITIONAL ISD/CSD,689,68.9,85,8.5,53,5.3,173,17.3,1000
05, JEFFERSON COUNTY, EHRHART SCHOOL,123805, OPEN ENROLLMENT CHARTER,359,69.04,-999,-999,-999,-999,-999,-999,520
13, CALDWELL COUNTY, PRAIRIE LEA ISD, 028906, TRADITIONAL ISD/CSD,183,69.06,-999,-999,0,0,64,24.15,265
04, HARRIS COUNTY, GOOSE CREEK CISD,101911, TRADITIONAL ISD/CSD,16682,69.2,1653,6.86,54,0.22,5719,23.72,24108
03, WHARTON COUNTY, WHARTON ISD,241904, TRADITIONAL ISD/CSD,1262,69.23,62,3.4,99,5.43,400,21.94,1823
07, UPSHUR COUNTY, BIG SANDY ISD,230901, TRADITIONAL ISD/CSD,466,69.24,45,6.69,0,0,162,24.07,673
20, FRIO COUNTY, PEARSALL ISD, 082903, TRADITIONAL ISD/CSD,1402,69.3,70,3.46,263,13,288,14.24,2023
02, KLEBERG COUNTY, KINGSVILLE ISD,137901, TRADITIONAL ISD/CSD,1810,69.54,65,2.5,333,12.79,395,15.17,2603
11, TARRANT COUNTY, EAST FORT WORTH MONTESSORI ACADEMY,220811, OPEN ENROLLMENT CHARTER,128,69.57,-999,-999,-999,-999,-999,-999,184
12, BOSQUE COUNTY, MORGAN ISD, 018903, TRADITIONAL ISD/CSD,103,69.59,22,14.86,0,0,-999,-999,148
13, CALDWELL COUNTY, LULING ISD, 028903, TRADITIONAL ISD/CSD,993,69.64,-999,-999,-999,-999,300,21.04,1426
13, BASTROP COUNTY, ELGIN ISD, 011902, TRADITIONAL ISD/CSD,3982,69.68,-999,-999,-999,-999,1257,21.99,5715
13, TRAVIS COUNTY, WAYSIDE SCHOOLS,227803, OPEN ENROLLMENT CHARTER,1226,69.7,250,14.21,0,0,283,16.09,1759
04, HARRIS COUNTY, ALIEF MONTESSORI COMMUNITY SCHOOL,101815, OPEN ENROLLMENT CHARTER,268,69.79,-999,-999,-999,-999,89,23.18,384
10, HUNT COUNTY, GREENVILLE ISD,116905, TRADITIONAL ISD/CSD,3788,69.92,269,4.96,267,4.93,1094,20.19,5418
01, CAMERON COUNTY, POINT ISABEL ISD, 031909, TRADITIONAL ISD/CSD,1299,69.95,12,0.65,288,15.51,258,13.89,1857
10, HUNT COUNTY, COMMERCE ISD,116903, TRADITIONAL ISD/CSD,1094,70.17,-999,-999,-999,-999,363,23.28,1559
07, CHEROKEE COUNTY, NEW SUMMERFIELD ISD, 037908, TRADITIONAL ISD/CSD,359,70.25,46,9,27,5.28,79,15.46,511
12, MCLENNAN COUNTY, WACO ISD,161914, TRADITIONAL ISD/CSD,9507,70.33,642,4.75,2046,15.14,1322,9.78,13517
07, HARRISON COUNTY, KARNACK ISD,102901, TRADITIONAL ISD/CSD,88,70.4,-999,-999,-999,-999,13,10.4,125
10, DALLAS COUNTY, DUNCANVILLE ISD, 057907, TRADITIONAL ISD/CSD,8294,70.52,1036,8.81,41,0.35,2390,20.32,11761
08, MORRIS COUNTY, DAINGERFIELD-LONE STAR ISD,172902, TRADITIONAL ISD/CSD,721,70.55,32,3.13,116,11.35,153,14.97,1022
02, JIM WELLS COUNTY, PREMONT ISD,125905, TRADITIONAL ISD/CSD,552,70.59,-999,-999,-999,-999,-999,-999,782
07, ANGELINA COUNTY, ZAVALLA ISD, 003906, TRADITIONAL ISD/CSD,226,70.63,0,0,0,0,94,29.38,320
20, BEXAR COUNTY, HARMONY PUBLIC SCHOOLS - SOUTH TEXAS, 015828, OPEN ENROLLMENT CHARTER,3431,70.67,295,6.08,268,5.52,861,17.73,4855
01, WEBB COUNTY, WEBB CISD,240904, TRADITIONAL ISD/CSD,181,70.7,16,6.25,18,7.03,41,16.02,256
17, CROSBY COUNTY, LORENZO ISD, 054902, TRADITIONAL ISD/CSD,152,70.7,-999,-999,-999,-999,-999,-999,215
07, RUSK COUNTY, LANEVILLE ISD,201903, TRADITIONAL ISD/CSD,99,70.71,-999,-999,-999,-999,24,17.14,140
10, DALLAS COUNTY, EVOLUTION ACADEMY CHARTER SCHOOL, 057834, OPEN ENROLLMENT CHARTER,480,70.8,31,4.57,0,0,167,24.63,678
04, HARRIS COUNTY, PASADENA ISD,101917, TRADITIONAL ISD/CSD,33639,70.84,4862,10.24,74,0.16,8911,18.77,47486
10, HUNT COUNTY, QUINLAN ISD,116908, TRADITIONAL ISD/CSD,2047,70.85,-999,-999,-999,-999,693,23.99,2889
20, BEXAR COUNTY, HARLANDALE ISD, 015904, TRADITIONAL ISD/CSD,8374,70.88,0,0,1880,15.91,1560,13.2,11814
01, STARR COUNTY, RIO GRANDE CITY GRULLA ISD,214901, TRADITIONAL ISD/CSD,6723,70.9,-999,-999,-999,-999,-999,-999,9482
20, BEXAR COUNTY, PRELUDE PREPARATORY CHARTER SCHOOL, 015843, OPEN ENROLLMENT CHARTER,98,71.01,-999,-999,-999,-999,-999,-999,138
10, KAUFMAN COUNTY, TERRELL ISD,129906, TRADITIONAL ISD/CSD,3737,71.11,455,8.66,0,0,1063,20.23,5255
05, NEWTON COUNTY, BURKEVILLE ISD,176901, TRADITIONAL ISD/CSD,176,71.26,0,0,-999,-999,38,15.38,247
20, ZAVALA COUNTY, LA PRYOR ISD,254902, TRADITIONAL ISD/CSD,317,71.4,-999,-999,-999,-999,-999,-999,444
06, BURLESON COUNTY, SOMERVILLE ISD, 026902, TRADITIONAL ISD/CSD,384,71.64,45,8.4,0,0,107,19.96,536
07, SHELBY COUNTY, CENTER ISD,210901, TRADITIONAL ISD/CSD,1744,71.65,132,5.42,37,1.52,521,21.41,2434
13, TRAVIS COUNTY, AUSTIN ACHIEVE PUBLIC SCHOOLS,227825, OPEN ENROLLMENT CHARTER,1898,71.7,360,13.6,0,0,389,14.7,2647
20, BEXAR COUNTY, SOUTHWEST PREPARATORY SCHOOL, 015807, OPEN ENROLLMENT CHARTER,568,71.72,47,5.93,0,0,177,22.35,792
19, EL PASO COUNTY, FABENS ISD, 071903, TRADITIONAL ISD/CSD,1371,71.86,117,6.13,251,13.16,169,8.86,1908
02, NUECES COUNTY, AGUA DULCE ISD,178901, TRADITIONAL ISD/CSD,281,71.87,19,4.86,0,0,91,23.27,391
02, BEE COUNTY, PETTUS ISD, 013903, TRADITIONAL ISD/CSD,284,72.08,-999,-999,-999,-999,90,22.84,394
20, BEXAR COUNTY, SOUTH SAN ANTONIO ISD, 015908, TRADITIONAL ISD/CSD,5375,72.35,0,0,1538,20.7,516,6.95,7429
05, NEWTON COUNTY, NEWTON ISD,176902, TRADITIONAL ISD/CSD,671,72.38,0,0,46,4.96,210,22.65,927
01, CAMERON COUNTY, SANTA ROSA ISD, 031914, TRADITIONAL ISD/CSD,674,72.4,-999,-999,-999,-999,-999,-999,931
09, HARDEMAN COUNTY, CHILLICOTHE ISD, 099902, TRADITIONAL ISD/CSD,142,72.45,24,12.24,0,0,30,15.31,196
18, CULBERSON COUNTY, CULBERSON COUNTY-ALLAMOORE ISD, 055901, TRADITIONAL ISD/CSD,285,72.52,11,2.8,16,4.07,81,20.61,393
04, HARRIS COUNTY, BEATRICE MAYES INSTITUTE CHARTER SCHOOL,101847, OPEN ENROLLMENT CHARTER,333,72.71,52,11.35,0,0,73,15.94,458
02, JIM WELLS COUNTY, BEN BOLT-PALITO BLANCO ISD,125902, TRADITIONAL ISD/CSD,331,72.75,-999,-999,-999,-999,73,16.04,455
01, CAMERON COUNTY, RIO HONDO ISD, 031911, TRADITIONAL ISD/CSD,1087,72.76,-999,-999,-999,-999,239,16,1494
01, CAMERON COUNTY, SAN BENITO CISD, 031912, TRADITIONAL ISD/CSD,6656,72.93,314,3.44,831,9.11,1325,14.52,9126
04, HARRIS COUNTY, BAKERRIPLEY COMMUNITY SCHOOLS,101853, OPEN ENROLLMENT CHARTER,1334,73.14,0,0,290,15.9,200,10.96,1824
10, DALLAS COUNTY, NOVA ACADEMY, 057809, OPEN ENROLLMENT CHARTER,61,73.49,-999,-999,-999,-999,-999,-999,83
01, HIDALGO COUNTY, MONTE ALTO ISD,108915, TRADITIONAL ISD/CSD,603,73.54,27,3.29,113,13.78,77,9.39,820
20, BEXAR COUNTY, HERITAGE ACADEMY, 015815, OPEN ENROLLMENT CHARTER,423,73.69,23,4.01,72,12.54,56,9.76,574
10, DALLAS COUNTY, UPLIFT EDUCATION, 057803, OPEN ENROLLMENT CHARTER,16817,73.71,1900,8.33,81,0.36,4017,17.61,22815
01, HIDALGO COUNTY, VANGUARD ACADEMY,108808, OPEN ENROLLMENT CHARTER,4866,73.73,355,5.38,834,12.64,545,8.26,6600
04, HARRIS COUNTY, REVE PREPARATORY CHARTER SCHOOL,101876, OPEN ENROLLMENT CHARTER,161,73.85,-999,-999,-999,-999,0,0,218
01, HIDALGO COUNTY, EXCELLENCE IN LEADERSHIP ACADEMY,108809, OPEN ENROLLMENT CHARTER,163,74.09,-999,-999,-999,-999,-999,-999,220
11, TARRANT COUNTY, ROCKETSHIP PUBLIC SCHOOLS,220820, OPEN ENROLLMENT CHARTER,480,74.42,43,6.67,0,0,122,18.91,645
01, HIDALGO COUNTY, DONNA ISD,108902, TRADITIONAL ISD/CSD,9781,74.49,263,2,2416,18.4,671,5.11,13131
03, KARNES COUNTY, KENEDY ISD,128902, TRADITIONAL ISD/CSD,576,74.81,0,0,79,10.26,115,14.94,770
02, JIM WELLS COUNTY, ALICE ISD,125901, TRADITIONAL ISD/CSD,3364,74.99,0,0,420,9.36,702,15.65,4486
02, NUECES COUNTY, DRISCOLL ISD,178905, TRADITIONAL ISD/CSD,255,75,-999,-999,-999,-999,-999,-999,340
04, GALVESTON COUNTY, ODYSSEY ACADEMY INC, 084802, OPEN ENROLLMENT CHARTER,1161,75.05,-999,-999,-999,-999,257,16.61,1547
10, DALLAS COUNTY, A W BROWN LEADERSHIP ACADEMY, 057816, OPEN ENROLLMENT CHARTER,584,75.06,43,5.53,0,0,151,19.41,778
19, HUDSPETH COUNTY, FT HANCOCK ISD,115901, TRADITIONAL ISD/CSD,292,75.26,49,12.63,0,0,47,12.11,388
04, GALVESTON COUNTY, AMBASSADORS PREPARATORY ACADEMY, 084804, OPEN ENROLLMENT CHARTER,122,75.31,20,12.35,0,0,20,12.35,162
04, HARRIS COUNTY, A+ UNLIMITED POTENTIAL,101871, OPEN ENROLLMENT CHARTER,113,75.33,-999,-999,-999,-999,26,17.33,150
20, KENDALL COUNTY, MEADOWLAND CHARTER DISTRICT,130801, OPEN ENROLLMENT CHARTER,40,75.47,0,0,0,0,13,24.53,53
07, NACOGDOCHES COUNTY, NACOGDOCHES ISD,174904, TRADITIONAL ISD/CSD,4425,75.47,588,10.03,10,0.17,840,14.33,5863
20, ZAVALA COUNTY, CRYSTAL CITY ISD,254901, TRADITIONAL ISD/CSD,1295,75.47,-999,-999,-999,-999,-999,-999,1716
17, CROSBY COUNTY, CROSBYTON CISD, 054901, TRADITIONAL ISD/CSD,241,75.55,-999,-999,-999,-999,-999,-999,319
04, HARRIS COUNTY, SPRING ISD,101919, TRADITIONAL ISD/CSD,25646,75.57,4165,12.27,44,0.13,4080,12.02,33935
01, WEBB COUNTY, LAREDO ISD,240901, TRADITIONAL ISD/CSD,15594,75.73,410,1.99,3985,19.35,603,2.93,20592
04, HARRIS COUNTY, HOUSTON GATEWAY ACADEMY INC,101828, OPEN ENROLLMENT CHARTER,1646,76.31,264,12.24,0,0,247,11.45,2157
10, DALLAS COUNTY, LEGACY PREPARATORY, 057846, OPEN ENROLLMENT CHARTER,953,76.36,78,6.25,0,0,217,17.39,1248
02, NUECES COUNTY, ROBSTOWN ISD,178909, TRADITIONAL ISD/CSD,1924,76.71,70,2.79,270,10.77,244,9.73,2508
01, HIDALGO COUNTY, EDCOUCH-ELSA ISD,108903, TRADITIONAL ISD/CSD,3376,76.76,26,0.59,719,16.35,277,6.3,4398
01, BROOKS COUNTY, BROOKS COUNTY ISD, 024901, TRADITIONAL ISD/CSD,956,76.85,0,0,166,13.34,122,9.81,1244
04, HARRIS COUNTY, THE RHODES SCHOOL FOR PERFORMING ARTS,101861, OPEN ENROLLMENT CHARTER,442,76.87,49,8.52,0,0,84,14.61,575
20, BEXAR COUNTY, LIGHTHOUSE PUBLIC SCHOOLS, 015825, OPEN ENROLLMENT CHARTER,295,77.23,-999,-999,-999,-999,47,12.3,382
04, HARRIS COUNTY, ACADEMY OF ACCELERATED LEARNING INC,101810, OPEN ENROLLMENT CHARTER,642,77.35,32,3.86,108,13.01,48,5.78,830
12, FALLS COUNTY, CHILTON ISD, 073901, TRADITIONAL ISD/CSD,444,77.62,-999,-999,-999,-999,-999,-999,572
12, FALLS COUNTY, MARLIN ISD, 073903, TRADITIONAL ISD/CSD,701,77.63,25,2.77,159,17.61,-999,-999,903
01, HIDALGO COUNTY, MERCEDES ISD,108907, TRADITIONAL ISD/CSD,3413,77.69,111,2.53,511,11.63,358,8.15,4393
13, TRAVIS COUNTY, VALERE PUBLIC SCHOOLS,227824, OPEN ENROLLMENT CHARTER,749,77.78,70,7.27,0,0,144,14.95,963
01, WILLACY COUNTY, RAYMONDVILLE ISD,245903, TRADITIONAL ISD/CSD,1543,78.13,0,0,243,12.3,189,9.57,1975
01, HIDALGO COUNTY, LA JOYA ISD,108912, TRADITIONAL ISD/CSD,18774,78.23,471,1.96,4171,17.38,582,2.43,23998
01, HIDALGO COUNTY, LA VILLA ISD,108914, TRADITIONAL ISD/CSD,421,78.25,-999,-999,-999,-999,-999,-999,538
13, TRAVIS COUNTY, DEL VALLE ISD,227910, TRADITIONAL ISD/CSD,8866,78.55,1298,11.5,0,0,1123,9.95,11287
04, HARRIS COUNTY, TWO DIMENSIONS PREPARATORY ACADEMY,101840, OPEN ENROLLMENT CHARTER,343,78.85,74,17.01,0,0,18,4.14,435
02, NUECES COUNTY, WEST OSO ISD,178915, TRADITIONAL ISD/CSD,1508,79.04,66,3.46,179,9.38,155,8.12,1908
04, HARRIS COUNTY, BLOOM ACADEMY CHARTER SCHOOL,101875, OPEN ENROLLMENT CHARTER,318,79.5,23,5.75,0,0,59,14.75,400
04, HARRIS COUNTY, ALIEF ISD,101903, TRADITIONAL ISD/CSD,31488,79.77,2977,7.54,21,0.05,4988,12.64,39474
04, HARRIS COUNTY, SER-NINOS CHARTER SCHOOL,101802, OPEN ENROLLMENT CHARTER,928,80.42,37,3.21,138,11.96,51,4.42,1154
07, SAN AUGUSTINE COUNTY, SAN AUGUSTINE ISD,203901, TRADITIONAL ISD/CSD,502,80.71,0,0,20,3.22,100,16.08,622
17, CROSBY COUNTY, RALLS ISD, 054903, TRADITIONAL ISD/CSD,359,81.41,26,5.9,0,0,56,12.7,441
08, RED RIVER COUNTY, CLARKSVILLE ISD,194904, TRADITIONAL ISD/CSD,441,83.36,-999,-999,-999,-999,0,0,529
19, EL PASO COUNTY, LA FE PREPARATORY SCHOOL, 071807, OPEN ENROLLMENT CHARTER,162,83.94,0,0,0,0,31,16.06,193
20, BEXAR COUNTY, ROYAL PUBLIC SCHOOLS, 015842, OPEN ENROLLMENT CHARTER,290,84.06,21,6.09,0,0,34,9.86,345
10, DALLAS COUNTY, GOLDEN RULE CHARTER SCHOOL, 057835, OPEN ENROLLMENT CHARTER,1181,84.54,154,11.02,0,0,62,4.44,1397
19, EL PASO COUNTY, EL PASO LEADERSHIP ACADEMY, 071810, OPEN ENROLLMENT CHARTER,679,85.41,60,7.55,0,0,56,7.04,795
02, BEE COUNTY, PAWNEE ISD, 013902, TRADITIONAL ISD/CSD,496,85.96,23,3.99,0,0,58,10.05,577
06, ROBERTSON COUNTY, CALVERT ISD,198902, TRADITIONAL ISD/CSD,127,86.39,-999,-999,-999,-999,-999,-999,147
10, DALLAS COUNTY, A+ ACADEMY, 057829, OPEN ENROLLMENT CHARTER,1426,86.48,179,10.86,0,0,44,2.67,1649
